"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"POPULARITY";"SPICEPREFIX";
"+9V";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"52";"";
"C1";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C2";"47u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"C";
"C3";"47p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C4";"220p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C5";"22n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C6";"10u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C7";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C8";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C9";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C10";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C11";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C12";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C13";"1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C14";"1n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C15";"4n7";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C16";"4n7";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C17";"1n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C18";"220n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C19";"470n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C20";"1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C22";"220n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C23";"1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C24";"100p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C25";"1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C26";"100u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"C";
"C27";"47u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"C";
"C28";"100u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"C";
"C29";"10u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"C";
"C30";"10u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"C";
"C31";"10u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"C";
"C32";"10u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"C";
"C33";"1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C34";"1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C35";"1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C36";"470n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C37";"470n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C38";"4u7";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C39";"4u7";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"C40";"4u7";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"D1";"B5817WS-TP";"B5817WS-TP";"SOD2512X115N";"Schottky Diodes & Rectifiers 20V,1A";"Schottky Diodes & Rectifiers 20V,1A";"1.15mm";"Micro Commercial Components (MCC)";"B5817WS-TP";"833-B5817WS-TP";"https://www.mouser.co.uk/ProductDetail/Micro-Commercial-Components-MCC/B5817WS-TP?qs=SdqRYZZ9IxCAZAlW9BKhPg%3D%3D";"";"";
"D2";"LED.3";"LED.3";"3MM_2";"LEDs, all sizes";"";"";"";"";"";"";"";"";
