"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"POPULARITY";"SPICEPREFIX";
"1";"";"DIP16_SMD.1";"SO16";"IC3";"Generic 16-pin DIP";"";"";"";"";"";"";"";"";
"1";"";"DPDT.LUGS";"DPDT.LUGS";"SW_1";"DPDT Switches";"";"";"";"";"";"";"";"";
"1";"";"TRIMMER";"TRIM1";"PRE";"Trimpots";"";"";"";"";"";"";"";"";
"3";"100k";"R-US_R0805";"R0805";"R2, R4, R23";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"7";"100n";"C-EUC0805";"C0805";"C1, C7, C8, C9, C10, C11, C12";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"1";"100p";"C-EUC0805";"C0805";"C24";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"2";"100u";"CPOL-USE2.5-6";"E2,5-6";"C26, C28";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"C";
"10";"10k";"R-US_R0805";"R0805";"R9, R10, R11, R12, R13, R14, R25, R26, R27, R32";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"1";"10u";"C-EUC0805";"C0805";"C6";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"4";"10u";"CPOL-USE2.5-6";"E2,5-6";"C29, C30, C31, C32";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"C";
"1";"120k";"R-US_R0805";"R0805";"R36";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"2";"15k";"R-US_R0805";"R0805";"R28, R35";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"1";"18k";"R-US_R0805";"R0805";"R19";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"2";"1M";"R-US_R0805";"R0805";"R1, R5";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"3";"1k";"R-US_R0805";"R0805";"R15, R22, R37";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"2";"1n";"C-EUC0805";"C0805";"C14, C17";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"7";"1u";"C-EUC0805";"C0805";"C13, C20, C23, C25, C33, C34, C35";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"1";"220k";"R-US_R0805";"R0805";"R3";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"2";"220n";"C-EUC0805";"C0805";"C18, C22";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"1";"220p";"C-EUC0805";"C0805";"C4";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"C";
"3";"22k";"R-US_R0805";"R0805";"R7, R20, R21";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
