"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"SPICEPREFIX";"SUPPLIER";
"1";"";"DPDT.LUGS";"DPDT.LUGS";"SW_1";"DPDT Switches";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"100k";"R-US_0204/5";"0204/5";"R2, R4, R23, R37";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"1";"100k";"TRIMMER";"TRIM1";"PRE";"Trimpots";"";"";"";"";"";"";"";"";"";"";"";"";"";
"7";"100n";"C-EU050-025X075";"C050-025X075";"C1, C7, C8, C9, C10, C11, C12";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"1";"100p";"C-EU050-025X075";"C050-025X075";"C24";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"2";"100u";"CPOL-USE2.5-6";"E2,5-6";"C26, C28";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"10";"10k";"R-US_0204/5";"0204/5";"R9, R10, R11, R12, R13, R14, R25, R26, R27, R32";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"5";"10u";"CPOL-USE2.5-6";"E2,5-6";"C6, C29, C30, C31, C32";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"1";"120k";"R-US_0204/5";"0204/5";"R36";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"3";"15k";"R-US_0204/5";"0204/5";"R17, R28, R35";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"1";"18k";"R-US_0204/5";"0204/5";"R19";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"2";"1M";"R-US_0204/5";"0204/5";"R1, R5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"5";"1N5817";"DO41.3";"DO41-3";"D1, D3, D4, D5, D6";"1N400x, 1N5817";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"1k";"R-US_0204/5";"0204/5";"R15, R22";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"2";"1n";"C-EU050-025X075";"C050-025X075";"C14, C17";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"7";"1u";"C-EU050-025X075";"C050-025X075";"C13, C20, C23, C25, C33, C34, C35";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"1";"220k";"R-US_0204/5";"0204/5";"R3";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"2";"220n";"C-EU050-025X075";"C050-025X075";"C18, C22";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"1";"220p";"C-EU050-025X075";"C050-025X075";"C4";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"3";"22k";"R-US_0204/5";"0204/5";"R7, R20, R21";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"1";"22n";"C-EU050-025X075";"C050-025X075";"C5";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"2";"2M2";"R-US_0204/5";"0204/5";"R33, R34";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"1";"2N5457";"2N5457";"TO92";"Q1";"2n5457, J201, MPF102";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2k2";"R-US_0204/5";"0204/5";"R18";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"1";"470k";"R-US_0204/5";"0204/5";"R30";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
"3";"470n";"C-EU050-025X075";"C050-025X075";"C19, C36, C37";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"1";"47p";"C-EU050-025X075";"C050-025X075";"C3";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"2";"47u";"CPOL-USE2.5-6";"E2,5-6";"C2, C27";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"3";"4k7";"R-US_0204/5";"0204/5";"R6, R8, R29";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"18";"R";"";
